setting,horizon_weeks,model_family,model_standard,mae,rmse,mase,persistence_mase,delta_mase_vs_persistence,beats_persistence
Sri Lanka,1,baseline,moving_average_4,174.42708333333334,270.6984263360859,0.8338084255132439,0.5286415422922742,0.30516688322096963,False
Sri Lanka,2,baseline,persistence,153.66,227.10935691864393,0.7345361753227259,0.7345361753227259,0.0,False
Sri Lanka,2,baseline,seasonal_naive,715.9183673469388,957.693700767524,3.422282567970264,0.7345361753227259,2.6877463926475382,False
Sri Lanka,2,baseline,moving_average_4,240.40425531914897,364.6646995324697,1.149197072975633,0.7345361753227259,0.41466089765290703,False
Sri Lanka,4,baseline,persistence,271.5833333333333,419.4048362461581,1.2982414613306237,1.2982414613306237,0.0,False
Sri Lanka,4,baseline,seasonal_naive,688.3404255319149,936.3416815889652,3.290452580308671,1.2982414613306237,1.9922111189780474,False
Sri Lanka,4,baseline,moving_average_4,348.43333333333334,531.0540985206268,1.6656051543772947,1.2982414613306237,0.36736369304667105,False
Taiwan,1,baseline,persistence,3.2549019607843137,6.615489844475082,0.1826371435540143,0.1826371435540143,0.0,False
Taiwan,1,baseline,seasonal_naive,517.0392156862745,908.691118598398,29.011800231179546,0.1826371435540143,28.82916308762553,False
Taiwan,1,baseline,moving_average_4,10.323529411764708,29.019516759263524,0.5792678077180035,0.1826371435540143,0.3966306641639892,False
Taiwan,2,baseline,persistence,5.1,10.08265837961398,0.2861681990265008,0.2861681990265008,0.0,False
Taiwan,2,baseline,seasonal_naive,526.58,917.7156095436102,29.54714710654408,0.2861681990265008,29.26097890751758,False
Taiwan,2,baseline,moving_average_4,11.42,32.27111711732335,0.6407923201730665,0.2861681990265008,0.3546241211465657,False
Brazil,1,negative_binomial,negative_binomial_epidemiology_only,8164.26184388032,13861.6397124866,1.01178163529269,1.095580484887393,-0.08379884959470285,True
Brazil,1,negative_binomial,negative_binomial_climate_informed,8124.30652023931,13363.4129307741,1.00683004708237,1.095580484887393,-0.08875043780502301,True
Brazil,2,negative_binomial,negative_binomial_epidemiology_only,10824.6870552867,17852.9036804746,1.34148313463746,1.7489108317176036,-0.4074276970801436,True
Brazil,2,negative_binomial,negative_binomial_climate_informed,10322.3923805636,15286.8905563493,1.27923469906443,1.7489108317176036,-0.46967613265317354,True
Brazil,4,negative_binomial,negative_binomial_epidemiology_only,15904.0024555879,24718.9600970766,1.97095315166494,3.2814462611685222,-1.3104931095035823,True
Brazil,4,negative_binomial,negative_binomial_climate_informed,17939.0858609725,25440.7096336875,2.22315721557557,3.2814462611685222,-1.0582890455929523,True
Colombia,1,negative_binomial,negative_binomial_epidemiology_only,375.641156776506,473.986920798207,2.76830010706786,2.0354362659685825,0.7328638410992774,False
Colombia,1,negative_binomial,negative_binomial_climate_informed,356.547427895019,439.610675831634,2.62758823150947,2.0354362659685825,0.5921519655408876,False
Colombia,2,negative_binomial,negative_binomial_epidemiology_only,404.868395176667,507.138621335867,2.98369122098832,2.6584855322916963,0.3252056886966237,False
Colombia,2,negative_binomial,negative_binomial_climate_informed,336.17758505261,428.146830251157,2.47747199130433,2.6584855322916963,-0.1810135409873661,True
Colombia,4,negative_binomial,negative_binomial_epidemiology_only,462.757955934362,628.188623341221,3.41031028110101,2.9522658459253335,0.4580444351756765,False
Colombia,4,negative_binomial,negative_binomial_climate_informed,346.053490704294,433.676657121251,2.5502528093264,2.9522658459253335,-0.4020130365989334,True
Peru,1,negative_binomial,negative_binomial_epidemiology_only,2908.47371799073,4646.18469071139,14.1351840933297,3.789847547836116,10.345336545493584,False
Peru,1,negative_binomial,negative_binomial_climate_informed,2746.27561356297,4419.82665451327,13.3469012040968,3.789847547836116,9.557053656260685,False
Peru,2,negative_binomial,negative_binomial_epidemiology_only,2968.77123393717,4817.30892427385,14.4282300586418,6.984404101213432,7.443825957428368,False
Peru,2,negative_binomial,negative_binomial_climate_informed,2868.13661536797,4665.6908654936,13.9391457492878,6.984404101213432,6.954741648074368,False
Peru,4,negative_binomial,negative_binomial_epidemiology_only,3694.68465667908,5834.57898724769,17.9561697483854,13.34414422182506,4.612025526560339,False
Peru,4,negative_binomial,negative_binomial_climate_informed,3637.3348661932,5720.78580349128,17.6774497306602,13.34414422182506,4.33330550883514,False
Singapore,1,negative_binomial,negative_binomial_epidemiology_only,13.5305259459277,18.7441046902744,0.373758169688172,0.361269812550597,0.012488357137575012,False
Singapore,1,negative_binomial,negative_binomial_climate_informed,13.7114471516053,18.7987988774313,0.37875581567489,0.361269812550597,0.017486003124292993,False
Singapore,2,negative_binomial,negative_binomial_epidemiology_only,14.7449349814466,20.0865380059712,0.407304190011567,0.3834118064592453,0.023892383552321705,False
Singapore,2,negative_binomial,negative_binomial_climate_informed,14.584649359945,19.6680774415128,0.402876567555562,0.3834118064592453,0.01946476109631673,False
Singapore,4,negative_binomial,negative_binomial_epidemiology_only,20.8108305446422,27.0673600076357,0.574864418806808,0.4701720789463307,0.10469233986047738,False
Singapore,4,negative_binomial,negative_binomial_climate_informed,18.1622745861836,24.0979233354164,0.50170248620299,0.4701720789463307,0.03153040725665929,False
Sri Lanka,1,negative_binomial,negative_binomial_epidemiology_only,119.928815821173,160.482584228822,0.573292032306836,0.5286415422922742,0.04465049001456178,False
Sri Lanka,1,negative_binomial,negative_binomial_climate_informed,123.289872481465,173.898830997881,0.589358788159326,0.5286415422922742,0.06071724586705174,False
Sri Lanka,2,negative_binomial,negative_binomial_epidemiology_only,155.26489205467,198.639845299918,0.742207991485965,0.7345361753227259,0.007671816163239087,False
Sri Lanka,2,negative_binomial,negative_binomial_climate_informed,156.812111935959,228.593560211348,0.74960411913132,0.7345361753227259,0.015067943808594109,False
Sri Lanka,4,negative_binomial,negative_binomial_epidemiology_only,266.511296279554,348.924414344923,1.27399575848943,1.2982414613306237,-0.02424570284119376,True
Sri Lanka,4,negative_binomial,negative_binomial_climate_informed,247.56317652981,321.081291509159,1.18341864401244,1.2982414613306237,-0.11482281731818378,True
Taiwan,1,negative_binomial,negative_binomial_epidemiology_only,11.5133662133631,24.8176609286601,0.646031230198172,0.1826371435540143,0.4633940866441577,False
Taiwan,1,negative_binomial,negative_binomial_climate_informed,26.7978048799593,90.8441614460593,1.50366265889442,0.1826371435540143,1.3210255153404056,False
Taiwan,2,negative_binomial,negative_binomial_epidemiology_only,11.8621883061832,23.9890876996694,0.665604130214444,0.2861681990265008,0.37943593118794317,False
Brazil,1,xgboost,xgboost_epidemiology,8198.188246783087,11967.331475677922,1.0159860706801085,1.095580484887393,-0.07959441420728441,True
Brazil,1,xgboost,xgboost_climate,8332.472407322304,13552.009478738431,1.032627654468374,1.095580484887393,-0.062952830419019,True
Brazil,2,xgboost,xgboost_epidemiology,16014.6901171875,23842.542221093863,1.9846704656611664,1.7489108317176036,0.2357596339435628,False
Brazil,2,xgboost,xgboost_climate,12224.37486328125,17396.640096432475,1.514943815633807,1.7489108317176036,-0.23396701608379655,True
Brazil,4,xgboost,xgboost_epidemiology,16250.726338704428,23023.079724525214,2.0139219912444273,3.2814462611685222,-1.267524269924095,True
Brazil,4,xgboost,xgboost_climate,17228.640686035156,24459.510963187113,2.13511307948226,3.2814462611685222,-1.1463331816862623,True
Colombia,1,xgboost,xgboost_epidemiology,1215.5376957912072,1411.9379156973243,8.957945828619252,2.0354362659685825,6.922509562650669,False
Colombia,1,xgboost,xgboost_climate,1293.9519784964766,1491.0638952044503,9.53582251569856,2.0354362659685825,7.500386249729978,False
Colombia,2,xgboost,xgboost_epidemiology,1337.9357153320314,1523.0925387510338,9.859962139897284,2.6584855322916963,7.2014766076055885,False
Colombia,2,xgboost,xgboost_climate,1326.392822265625,1523.3293549871314,9.77489640219747,2.6584855322916963,7.116410869905774,False
Colombia,4,xgboost,xgboost_epidemiology,1125.2466735839844,1342.768456809549,8.292543111333313,2.9522658459253335,5.340277265407979,False
Colombia,4,xgboost,xgboost_climate,1434.7882970174153,1686.0176565155173,10.573720489888116,2.9522658459253335,7.621454643962782,False
Peru,1,xgboost,xgboost_epidemiology,2683.8377015356923,4743.255547463279,13.043452912489649,3.789847547836116,9.253605364653533,False
Peru,1,xgboost,xgboost_climate,3001.044665766697,5126.586387122503,14.58507895757182,3.789847547836116,10.795231409735704,False
Peru,2,xgboost,xgboost_epidemiology,3636.6931481933593,5719.071670235656,17.674330980778564,6.984404101213432,10.689926879565132,False
Peru,2,xgboost,xgboost_climate,3860.5406518554687,5859.442261450674,18.76222998895048,6.984404101213432,11.777825887737048,False
Peru,4,xgboost,xgboost_epidemiology,4333.370568593343,6428.848000769779,21.060183680806706,13.34414422182506,7.716039458981646,False
Peru,4,xgboost,xgboost_climate,4098.503634134929,6190.3973181135425,19.918730232054493,13.34414422182506,6.574586010229433,False
Singapore,1,xgboost,xgboost_epidemiology,13.58997382369696,18.52621435626365,0.3754003179738839,0.361269812550597,0.014130505423286921,False
Singapore,1,xgboost,xgboost_climate,13.877363017961091,19.20695351368217,0.3833389642368289,0.361269812550597,0.022069151686231914,False
Singapore,2,xgboost,xgboost_epidemiology,18.375134353637694,22.323108672996508,0.5075823815893058,0.3834118064592453,0.12417057513006052,False
Singapore,2,xgboost,xgboost_climate,20.24127555847168,24.665436164506563,0.559131414042723,0.3834118064592453,0.17571960758347777,False
Singapore,4,xgboost,xgboost_epidemiology,32.26072390874227,36.58541689903797,0.891148590168144,0.4701720789463307,0.4209765112218133,False
Singapore,4,xgboost,xgboost_climate,34.30025053024292,39.5416302890398,0.9474871050291876,0.4701720789463307,0.477315026082857,False
Sri Lanka,1,xgboost,xgboost_epidemiology,77.97070855034723,108.59996741716652,0.3727209816853769,0.5286415422922742,-0.15592056060689735,True
Sri Lanka,1,xgboost,xgboost_climate,101.39462076822916,131.54232185386897,0.484693589336153,0.5286415422922742,-0.04394795295612125,True
Sri Lanka,2,xgboost,xgboost_epidemiology,89.54186595569958,106.46331477154853,0.4280342297953909,0.7345361753227259,-0.30650194552733495,True
Sri Lanka,2,xgboost,xgboost_climate,101.95985967462713,130.72581549357446,0.4873955835080205,0.7345361753227259,-0.24714059181470538,True
Sri Lanka,4,xgboost,xgboost_epidemiology,108.35117521740142,128.5423924858672,0.5179477927626744,1.2982414613306237,-0.7802936685679492,True
Sri Lanka,4,xgboost,xgboost_climate,108.76549130394343,135.3687488699716,0.5199283352173358,1.2982414613306237,-0.7783131261132878,True
Taiwan,1,xgboost,xgboost_epidemiology,5.084562003612518,11.87192379279292,0.2853019512573276,0.1826371435540143,0.1026648077033133,False
Taiwan,1,xgboost,xgboost_climate,3.45974189072263,6.892523017852733,0.1941310011695364,0.1826371435540143,0.011493857615522102,False
Taiwan,2,xgboost,xgboost_epidemiology,6.115276027023793,12.917635209219224,0.3431367700398694,0.2861681990265008,0.05696857101336861,False
Taiwan,2,xgboost,xgboost_climate,5.371535530984402,11.7330987429454,0.3014044409624833,0.2861681990265008,0.015236241935982497,False
