setting,test_year,horizon_weeks,model,n_predictions,mae,rmse,mase
Philippines,2023,2,xgboost_climate,35,756.8496265714285,1068.5107470063192,1.3633899389629074
Philippines,2023,2,xgboost_epidemiology,35,711.9092708571427,1020.9549796456935,1.2824343215150484
Singapore,2025,2,moving_average_4,52,13.33173076923077,16.37815589083873,0.36826678511952976
Singapore,2025,2,negative_binomial_climate,52,15.901713406460782,21.783066677210975,0.43925826102077287
Singapore,2025,2,negative_binomial_epidemiology,52,15.747399657123319,21.59049299244406,0.434995601554276
Singapore,2025,2,persistence,52,14.365384615384615,19.331620171665346,0.3968197453794284
Singapore,2025,2,seasonal_naive,52,185.6346153846154,208.68733513597283,5.127846053745143
Singapore,2025,2,xgboost_climate,52,16.816207634615385,21.414017287051998,0.46451963594968565
Singapore,2025,2,xgboost_epidemiology,52,16.657633230769232,20.82602633137531,0.4601392830219586
Sri Lanka,2024,2,moving_average_4,42,164.54761904761904,235.93423089819714,0.7865819260295392
Sri Lanka,2024,2,negative_binomial_climate,42,158.42020404525047,275.67096898052097,0.7572912324173117
Sri Lanka,2024,2,negative_binomial_epidemiology,42,136.54784952386993,195.87548618172434,0.6527354883366296
Sri Lanka,2024,2,persistence,42,129.02380952380952,215.51427971692448,0.616768551172634
Sri Lanka,2024,2,seasonal_naive,42,711.8333333333334,967.8370706054275,3.402755005426876
Sri Lanka,2024,2,xgboost_climate,42,124.13707904761904,224.06500786815582,0.5934086636689638
Sri Lanka,2024,2,xgboost_epidemiology,42,83.09028476190477,107.16722679516619,0.3971939345014037
Brazil,2023,4,moving_average_4,52,33910.0,46464.1685599899,4.202402606488237
Brazil,2023,4,negative_binomial_climate,52,12462.783013100418,17665.878099501664,1.5444892898363467
Brazil,2023,4,negative_binomial_epidemiology,52,14266.442495664842,21536.276790570148,1.7680134216778673
Brazil,2023,4,persistence,52,26300.173076923078,36402.88983219073,3.2593310495297345
Brazil,2023,4,seasonal_naive,52,15458.288461538461,23159.862400365124,1.9157166535716976
Brazil,2023,4,xgboost_climate,52,15813.62328846154,21152.207978382598,1.95975263124311
Brazil,2023,4,xgboost_epidemiology,52,15424.391134615385,21132.903983464395,1.9115158215158286
Colombia,2023,4,moving_average_4,52,422.6442307692308,530.7650637378231,3.114690837740625
Colombia,2023,4,negative_binomial_climate,52,465.5625879767526,582.1983663652885,3.430979111028654
Colombia,2023,4,negative_binomial_epidemiology,52,515.7708146673743,639.5516855088196,3.8009903220366925
Colombia,2023,4,persistence,52,427.5192307692308,545.2465038860863,3.1506173137896405
Colombia,2023,4,seasonal_naive,52,1197.826923076923,1333.66834332978,8.827425694931193
Colombia,2023,4,xgboost_climate,52,763.0957865384614,948.8013546954994,5.623659999626469
Colombia,2023,4,xgboost_epidemiology,52,795.4280403846153,982.5467268829669,5.861933629044838
Peru,2023,4,moving_average_4,52,3216.4471153846152,4796.398127887417,15.6319349977931
Peru,2023,4,negative_binomial_climate,52,3182.676433655583,5240.3496103064435,15.467809463412516
Peru,2023,4,negative_binomial_epidemiology,52,2971.0229719538247,5271.989788510724,14.43917350681475
Peru,2023,4,persistence,52,2574.0576923076924,3975.291636616595,12.50992199879887
Peru,2023,4,seasonal_naive,52,3872.6153846153848,6074.53044402484,18.8209131977357
Peru,2023,4,xgboost_climate,52,3695.352368076923,5905.479511351764,17.959414826197694
Peru,2023,4,xgboost_epidemiology,52,3945.5567469230778,6144.358397474716,19.175408264292386
Philippines,2023,4,moving_average_4,35,1152.7285714285715,1411.2195080851172,2.076526804618138
Philippines,2023,4,negative_binomial_climate,35,1446.5975562745577,1971.434057396232,2.6059027906079364
Philippines,2023,4,negative_binomial_epidemiology,35,1591.803319067147,2547.317554378358,2.8674766477130462
Philippines,2023,4,persistence,35,885.4285714285714,1226.387144653526,1.595012223794874
Philippines,2023,4,seasonal_naive,35,3786.8,4879.061203609915,6.821546631730398
Philippines,2023,4,xgboost_climate,35,989.401814285714,1463.7755466667886,1.782309763829264
Philippines,2023,4,xgboost_epidemiology,35,951.639017142857,1434.1366625911862,1.7142838100808289
Singapore,2025,4,moving_average_4,52,16.528846153846153,20.830762661912384,0.4565817552257278
Singapore,2025,4,negative_binomial_climate,52,22.626276478448382,28.30464648422503,0.6250130791101026
Singapore,2025,4,negative_binomial_epidemiology,52,21.333019854484345,27.569535454368868,0.5892890259105755
Singapore,2025,4,persistence,52,17.346153846153847,21.641306657550828,0.4791585145009965
Singapore,2025,4,seasonal_naive,52,185.6346153846154,208.68733513597283,5.127846053745143
Singapore,2025,4,xgboost_climate,52,22.252746634615384,28.007239581564235,0.6146949413442201
Singapore,2025,4,xgboost_epidemiology,52,26.50262213461539,31.535801526731323,0.7320906504711575
Sri Lanka,2024,4,moving_average_4,42,266.6547619047619,386.9643340584935,1.2746815628082515
Sri Lanka,2024,4,negative_binomial_climate,42,296.27547642866784,408.3586572498196,1.416276554066329
Sri Lanka,2024,4,negative_binomial_epidemiology,42,203.3147660593166,253.55706251327274,0.9718993273971442
Sri Lanka,2024,4,persistence,42,180.28571428571428,259.43253091167674,0.8618142589922836
Sri Lanka,2024,4,seasonal_naive,42,766.0952380952381,1004.5071760155159,3.6621415210427517
Sri Lanka,2024,4,xgboost_climate,42,139.93724333333336,180.3819590328997,0.6689377033923748
Sri Lanka,2024,4,xgboost_epidemiology,42,173.20950761904763,275.0151291022451,0.8279880857479357
