setting,test_year,horizon_weeks,model,n_predictions,mae,rmse,mase
Philippines,2023,1,seasonal_naive,45,3115.0,4323.416085047152,5.61136520488016
Philippines,2023,2,moving_average_4,40,734.75625,994.8187515510049,1.3235909005837008
Philippines,2023,2,persistence,43,529.6744186046511,834.5289995936574,0.954156212671996
Philippines,2023,2,seasonal_naive,45,3115.0,4323.416085047152,5.61136520488016
Philippines,2023,4,moving_average_4,40,1046.43125,1327.0506378102157,1.885042666307946
Philippines,2023,4,persistence,43,770.7674418604652,1117.3000991801205,1.3884615102119762
Philippines,2023,4,seasonal_naive,45,3115.0,4323.416085047152,5.61136520488016
Singapore,2025,1,moving_average_4,52,12.350961538461538,15.653819575672014,0.3411746739892073
Singapore,2025,1,persistence,52,13.326923076923077,18.456289317861685,0.36813398065320463
Singapore,2025,1,seasonal_naive,52,185.6346153846154,208.68733513597283,5.127846053745143
Singapore,2025,2,moving_average_4,52,13.33173076923077,16.37815589083873,0.36826678511952976
Singapore,2025,2,persistence,52,14.365384615384615,19.331620171665346,0.3968197453794284
Singapore,2025,2,seasonal_naive,52,185.6346153846154,208.68733513597283,5.127846053745143
Singapore,2025,4,moving_average_4,52,16.528846153846153,20.830762661912384,0.4565817552257278
Singapore,2025,4,persistence,52,17.346153846153847,21.641306657550828,0.4791585145009965
Singapore,2025,4,seasonal_naive,52,185.6346153846154,208.68733513597283,5.127846053745143
Sri Lanka,2024,1,moving_average_4,48,174.42708333333334,270.6984263360859,0.8338084255132439
Sri Lanka,2024,1,persistence,51,110.58823529411765,175.15113921589963,0.5286415422922742
Sri Lanka,2024,1,seasonal_naive,51,734.6666666666666,968.9837611703123,3.5119044869870444
Sri Lanka,2024,2,moving_average_4,48,235.953125,360.8667715693933,1.1279194715146756
Sri Lanka,2024,2,persistence,51,171.6078431372549,270.137728125604,0.8203316982521248
Sri Lanka,2024,2,seasonal_naive,51,734.6666666666666,968.9837611703123,3.5119044869870444
Sri Lanka,2024,4,moving_average_4,48,371.7083333333333,556.4139997003131,1.776865921529686
Sri Lanka,2024,4,persistence,51,276.3137254901961,426.8461172871756,1.3208540095714059
Sri Lanka,2024,4,seasonal_naive,51,734.6666666666666,968.9837611703123,3.5119044869870444
Taiwan,2024,1,moving_average_4,52,14.9375,45.05846895978602,0.8381642103839915
Taiwan,2024,1,persistence,52,5.173076923076923,15.71439810149621,0.2902686483338187
Taiwan,2024,1,seasonal_naive,52,508.0,899.9348908072782,28.504597079502435
Taiwan,2024,2,moving_average_4,52,23.28846153846154,71.35318102444832,1.3067484503057787
Taiwan,2024,2,persistence,52,11.211538461538462,35.27556356198132,0.6290952489911387
Taiwan,2024,2,seasonal_naive,52,508.0,899.9348908072782,28.504597079502435
Taiwan,2024,4,moving_average_4,52,51.92788461538461,159.72573774466318,2.9137469058118737
Taiwan,2024,4,persistence,52,26.096153846153847,78.66640862626083,1.4642920289553607
Taiwan,2024,4,seasonal_naive,52,508.0,899.9348908072782,28.504597079502435
