setting,climate_variable,lag_weeks,n,beta,se,p_value,adjusted_r2,q_value_fdr_bh,significant_fdr_0_05,ci_lower,ci_upper
Philippines,rainfall,1,353,0.01072706881423513,0.022556365082556266,0.634382702425198,0.907352039150961,0.8332051835686068,False,-0.03348340674757515,0.05493754437604541
Philippines,rainfall,2,349,0.024732903918469384,0.01755505393342484,0.15887167302489769,0.9069353714881071,0.415954925737914,False,-0.009675001791043296,0.059140809627982065
Philippines,rainfall,4,344,0.03464029459853024,0.01888271520809695,0.06658017262007199,0.9068075907765785,0.26055271649284456,False,-0.0023698272093397796,0.07165041640640027
Philippines,rainfall,6,340,0.012239354838584182,0.020763830217999567,0.5555557257361108,0.9055777755629613,0.7790340372847568,False,-0.028457752388694968,0.05293646206586333
Philippines,rainfall,8,337,-0.018037430157188394,0.018282527396478475,0.32384175778942936,0.9066524509313205,0.6201123505180195,False,-0.05387118385428621,0.01779632353990942
Philippines,temperature,0,353,-0.057373200531384394,0.017998392304986545,0.0014341680891818464,0.9089351493707358,0.02950288640602655,True,-0.09265004944915803,-0.022096351613610767
Philippines,temperature,1,353,-0.02109072667138312,0.02225982116526497,0.343394441589285,0.9074866623194818,0.6201123505180195,False,-0.06471997615530246,0.022538522812536224
Philippines,temperature,2,349,-0.02072875204982949,0.02255102236648589,0.3579943965349043,0.9066926198377545,0.6257549624058575,False,-0.06492875588814184,0.023471251788482854
Philippines,temperature,4,344,-0.04127541423834047,0.028996271765344302,0.15459904095222324,0.9067305462038675,0.41226410920592865,False,-0.0981081068984153,0.015557278421734363
Philippines,temperature,6,340,0.017124686493972585,0.024641880880718274,0.487091433832772,0.9056043365994509,0.7707820491419689,False,-0.031173400032235232,0.0654227730201804
Philippines,temperature,8,337,0.05695796621342086,0.024075115485374464,0.01798902521779923,0.9079551342147709,0.14391220174239383,False,0.009770739862086916,0.10414519256475481
Philippines,humidity,0,353,-0.020233570167803583,0.027147743945181692,0.4560824419979108,0.9074184151006615,0.7297319071966573,False,-0.0734431483003597,0.03297600796475253
Philippines,humidity,1,353,0.015224616009239411,0.02845599009690798,0.5926337873515499,0.9073517489157454,0.8127549083678399,False,-0.04054912458070022,0.07099835659917905
Philippines,humidity,2,349,0.02492190767821767,0.027026161360684947,0.35645549230400286,0.9067109588688878,0.6257549624058575,False,-0.028049368588724824,0.07789318394516016
Philippines,humidity,4,344,0.006253325162391021,0.04117624224998032,0.8792915917147075,0.9059228649891354,0.9305564067786832,False,-0.07445210964757042,0.08695875997235246
Philippines,humidity,6,340,0.05187685339823356,0.027425486493792655,0.058550115048892896,0.9064878077214874,0.25257704511309054,False,-0.0018771001296000456,0.10563080692606716
