setting,model,horizons_evaluated,total_predictions,median_mae,median_rmse,median_mase,min_mase,max_mase,horizons_mase_below_1,mase_range,fraction_horizons_mase_below_1,all_horizons_mase_below_1
Philippines,moving_average_4,3,106,824.8857142857142,1062.1410872787635,1.4859502392120625,1.135896138684509,2.076526804618138,0,0.9406306659336292,0.0,False
Philippines,negative_binomial_climate,3,106,828.6541956353545,1181.2518460682093,1.4927387866023063,0.9785751762815316,2.6059027906079364,1,1.6273276143264048,0.3333333333333333,False
Philippines,negative_binomial_epidemiology,3,106,886.186366274844,1247.2673684999274,1.5963773164538826,1.0548554761796878,2.8674766477130462,0,1.8126211715333584,0.0,False
Philippines,seasonal_naive,3,106,3786.8,4879.061203609915,6.821546631730398,6.745047121072107,6.887426452526055,0,0.14237933145394877,0.0,False
Singapore,moving_average_4,3,156,13.33173076923077,16.37815589083873,0.3682667851195297,0.3411746739892073,0.4565817552257278,3,0.11540708123652049,1.0,True
Singapore,persistence,3,156,14.365384615384617,19.331620171665342,0.3968197453794284,0.3681339806532046,0.4791585145009965,3,0.11102453384779193,1.0,True
Singapore,negative_binomial_epidemiology,3,156,15.74739965712332,21.59049299244406,0.434995601554276,0.3723404073635067,0.5892890259105755,3,0.21694861854706882,1.0,True
Singapore,negative_binomial_climate,3,156,15.901713406460782,21.783066677210975,0.4392582610207728,0.369536113837027,0.6250130791101026,3,0.2554769652730756,1.0,True
Singapore,xgboost_epidemiology,3,156,16.657633230769232,20.82602633137531,0.4601392830219586,0.3416230107119457,0.7320906504711575,3,0.39046763975921184,1.0,True
Singapore,xgboost_climate,3,156,16.816207634615385,21.414017287052,0.4645196359496856,0.3518598929260436,0.6146949413442201,3,0.2628350484181765,1.0,True
Singapore,seasonal_naive,3,156,185.6346153846154,208.68733513597283,5.127846053745143,5.127846053745143,5.127846053745143,0,0.0,0.0,False
Sri Lanka,xgboost_epidemiology,3,126,83.09028476190477,107.1672267951662,0.3971939345014037,0.3751108751290737,0.8279880857479357,3,0.452877210618862,1.0,True
Sri Lanka,xgboost_climate,3,126,124.13707904761904,180.3819590328997,0.5934086636689638,0.4500305340936458,0.6689377033923748,3,0.218907169298729,1.0,True
Sri Lanka,persistence,3,126,129.02380952380952,215.51427971692448,0.616768551172634,0.3705846840040775,0.8618142589922836,3,0.4912295749882061,1.0,True
Sri Lanka,negative_binomial_epidemiology,3,126,136.54784952386993,195.8754861817243,0.6527354883366296,0.4073764976788899,0.9718993273971442,3,0.5645228297182543,1.0,True
Sri Lanka,negative_binomial_climate,3,126,158.42020404525047,275.67096898052097,0.7572912324173117,0.4251179390023041,1.416276554066329,2,0.9911586150640248,0.6666666666666666,False
Sri Lanka,moving_average_4,3,126,164.54761904761904,235.93423089819711,0.7865819260295392,0.6405560815647876,1.2746815628082515,2,0.6341254812434639,0.6666666666666666,False
Sri Lanka,seasonal_naive,3,126,711.8333333333334,967.8370706054276,3.402755005426876,3.2513798120222615,3.662141521042752,0,0.4107617090204907,0.0,False
