setting,source_week,median_cases,mean_cases
Philippines,12,1905.0,1882.7142857142858
Philippines,13,1446.0,1805.2857142857142
Philippines,14,1423.0,1674.857142857143
Philippines,15,1282.0,1557.0
Philippines,16,1482.0,1593.0
Philippines,17,1596.0,1582.142857142857
Philippines,18,1484.0,1731.7142857142858
Philippines,19,1720.0,1849.142857142857
Philippines,20,1774.0,2069.0
Philippines,21,1920.0,2235.8571428571427
Philippines,22,2217.0,2460.714285714286
Philippines,23,2391.0,2562.285714285714
Philippines,24,2878.0,2961.714285714286
Philippines,25,3535.0,3574.4285714285716
Philippines,26,4044.0,4140.714285714285
Philippines,27,4602.0,4746.857142857143
Philippines,28,5658.0,5516.285714285715
Philippines,29,6781.0,6316.0
Philippines,30,7596.0,7420.285714285715
Philippines,31,8335.0,7967.714285714285
Philippines,32,9068.0,8908.57142857143
Philippines,33,8420.0,8202.285714285714
Philippines,34,7525.0,7970.0
Philippines,35,6705.0,7332.857142857143
Philippines,36,7305.0,7724.857142857143
Philippines,37,5465.0,6628.714285714285
Philippines,38,5550.0,6380.285714285715
Philippines,39,4273.0,5389.571428571428
Philippines,40,3866.0,5276.428571428572
Philippines,41,3435.0,4822.714285714285
Philippines,42,3825.0,5043.0
Philippines,43,3494.0,4370.571428571428
Philippines,44,3570.0,4144.0
Philippines,45,3546.0,4279.285714285715
Philippines,46,3874.0,4654.166666666667
Philippines,47,3675.5,4164.333333333333
Philippines,48,3555.5,3897.8333333333335
Philippines,49,3421.0,3486.0
Philippines,50,3043.5,3303.6666666666665
Philippines,51,2472.5,2908.0
Philippines,52,1988.0,2526.3333333333335
Singapore,1,200.5,219.1
Singapore,2,205.5,246.9
Singapore,3,198.5,249.9
Singapore,4,179.5,230.5
Singapore,5,168.5,224.5
Singapore,6,156.5,224.4
Singapore,7,177.0,233.2
Singapore,8,164.0,218.4
Singapore,9,148.5,200.0
Singapore,10,139.5,206.0
Singapore,11,139.0,204.7
Singapore,12,124.0,194.8
Singapore,13,110.5,210.6
Singapore,14,112.0,215.2
Singapore,15,128.5,214.0
Singapore,16,132.0,245.0
Singapore,17,142.5,255.1
Singapore,18,149.0,230.0
Singapore,19,160.5,305.8
Singapore,20,166.5,307.2
Singapore,21,165.5,354.7
Singapore,22,167.0,358.4
Singapore,23,160.0,377.3
Singapore,24,231.5,403.7
Singapore,25,214.5,407.0
Singapore,26,252.5,430.4
Singapore,27,241.0,435.7
Singapore,28,215.5,425.4
Singapore,29,218.0,437.0
Singapore,30,218.5,451.7
Singapore,31,186.0,377.3
Singapore,32,197.0,394.5
Singapore,33,204.0,338.5
Singapore,34,191.5,329.9
Singapore,35,196.0,306.1
Singapore,36,216.0,274.7
Singapore,37,188.5,251.8
Singapore,38,178.0,237.9
Singapore,39,145.0,213.4
Singapore,40,140.0,205.4
Singapore,41,118.5,180.9
Singapore,42,104.5,186.9
Singapore,43,101.0,177.9
Singapore,44,92.0,165.2
Singapore,45,98.5,159.0
Singapore,46,94.0,159.4
Singapore,47,104.0,142.8
Singapore,48,100.5,136.0
Singapore,49,115.0,144.7
Singapore,50,105.0,142.4
Singapore,51,115.5,143.0
Singapore,52,118.0,151.4
Sri Lanka,1,1351.0,1535.2222222222222
Sri Lanka,2,1509.0,1578.2222222222222
Sri Lanka,3,1465.0,1638.0
Sri Lanka,4,1350.0,1494.6666666666667
Sri Lanka,5,1165.0,1293.6666666666667
Sri Lanka,6,1149.0,1152.111111111111
Sri Lanka,7,985.0,1083.888888888889
Sri Lanka,8,969.0,930.5555555555555
Sri Lanka,9,756.0,918.6666666666666
Sri Lanka,10,719.0,838.1111111111111
Sri Lanka,11,653.0,875.0
Sri Lanka,12,689.0,903.8888888888889
Sri Lanka,13,505.0,818.2222222222222
Sri Lanka,14,641.0,813.1111111111111
Sri Lanka,15,509.0,653.4444444444445
Sri Lanka,16,478.0,968.4444444444445
Sri Lanka,17,630.0,970.4444444444445
Sri Lanka,18,675.0,944.7777777777778
Sri Lanka,19,728.0,942.2222222222222
Sri Lanka,20,594.0,1072.111111111111
Sri Lanka,21,680.0,1080.7777777777778
Sri Lanka,22,713.0,1186.111111111111
Sri Lanka,23,649.0,1212.7777777777778
Sri Lanka,24,649.0,1340.2222222222222
Sri Lanka,25,889.0,1528.4444444444443
Sri Lanka,26,1056.0,1536.5555555555557
Sri Lanka,27,998.0,2053.6666666666665
Sri Lanka,28,1312.0,2181.5555555555557
Sri Lanka,29,1474.0,2198.222222222222
Sri Lanka,30,1247.0,2020.111111111111
Sri Lanka,31,1189.0,1768.111111111111
Sri Lanka,32,974.0,1502.0
Sri Lanka,33,804.0,1272.888888888889
Sri Lanka,34,685.0,1087.7777777777778
Sri Lanka,35,587.0,845.2222222222222
Sri Lanka,36,614.0,792.4444444444445
Sri Lanka,37,535.0,707.4444444444445
Sri Lanka,38,624.0,770.7777777777778
Sri Lanka,39,489.0,715.6666666666666
Sri Lanka,40,519.0,787.0
Sri Lanka,41,571.0,841.3333333333334
Sri Lanka,42,584.0,873.4444444444445
Sri Lanka,43,595.0,1015.3333333333334
